speaker_party,health_mentioned,health_topics
S&D,,[]
ALDE,,[]
ALDE,True,"['public health', 'healthcare systems', 'medical services', 'hygiene conditions', 'medical treatment', 'social rights']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ALDE,,[]
S&D,True,"['public health', 'healthcare systems', 'health policies', 'disease control']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
NI,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
GUE/NGL,,[]
GUE/NGL,,[]
PPE,True,"['COVID-19', 'public health', 'health policies', 'health']"
ID,True,"['pandemic', 'ecological collapse', 'public health']"
NI,True,"['social pillar', 'wage gap', 'economic and structural differences']"
ECR,,[]
GUE/NGL,,[]
NI,,[]
S&D,True,"['COVID-19', 'public health measures', 'healthcare systems', 'health policies', 'public health emergency']"
Greens/EFA,,[]
ALDE,True,"[""citizens' rights"", 'mutual recognition of qualifications', 'entitlements']"
PPE,,[]
S&D,True,"['climate neutrality', 'emissions', 'infrastructure', 'social justice', 'transition', 'inequalities']"
S&D,True,"['public health', 'healthcare systems', 'disease control', 'green architecture', 'climate protection']"
PPE,,"['healthcare systems', 'public health issues']"
PPE,,[]
PPE,,[]
ALDE,,"['water scarcity', 'pollution', 'environmental damage', 'climate change']"
GUE/NGL,,[]
PPE,,[]
ALDE,,[]
ID,,[]
ALDE,True,"['food system', 'healthy food system', 'hygiene regulation', 'health hazard']"
S&D,,[]
S&D,True,"['climate neutrality', 'emissions', 'healthcare systems', 'social justice', 'transition', 'inequalities']"
PPE,,[]
ECR,,[]
ECR,,[]
S&D,True,"['inequality', 'social dumping', ""workers' rights"", 'health conditions', 'work safety']"
S&D,True,"['COVID-19', 'health', 'science', 'research', 'health union', 'healthcare']"
S&D,,[]
Greens/EFA,,[]
PPE,,[]
Greens/EFA,,[]
S&D,,[]
ALDE,,[]
ID,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies', 'elderly care']"
ID,True,"['homelessness', 'humanitarian disaster', 'epidemic']"
ID,,[]
Greens/EFA,,[]
ALDE,,[]
PPE,,[]
ECR,,[]
S&D,,"['refugees', 'human dignity', 'migration', 'healthcare systems', 'public health emergency']"
PPE,,[]
S&D,,[]
Greens/EFA,True,"['COVID-19', 'antibiotic resistance', 'public health issues', 'pandemic', 'health policies', 'disease control']"
S&D,,[]
ID,,[]
Greens/EFA,,[]
Greens/EFA,,[]
ALDE,,[]
S&D,,"['poisoning', 'assassination attempt', 'chemical nerve agent']"
GUE/NGL,,"['financial fraud', 'investor protection', 'regulatory failures', 'financial supervision']"
ALDE,,[]
ECR,,"['pandemic', 'price crisis', 'agricultural sector', 'agro-food sector', 'fishing sector']"
PPE,,[]
Greens/EFA,,"['supply chains', 'child labour', 'deforestation']"
S&D,True,"['public health', 'healthcare systems', 'disease control', 'pandemic', 'public health emergency']"
ECR,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control']"
ECR,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'diseases', 'cancer treatment', 'bacterial infections', 'health policies']"
ALDE,,[]
S&D,True,"['COVID-19', 'public health', 'poverty', 'physical health', 'mental health', 'social security', 'health crisis', 'disease control']"
PPE,,"['immigrant flow', 'minors', 'food', 'sanitation', 'electricity', 'asylum policy', 'crime', 'education', 'humanitarian situation']"
GUE/NGL,True,"['COVID-19', 'public health issues', 'healthcare systems', 'vaccination', 'pandemic', 'disease control']"
Greens/EFA,,[]
Greens/EFA,,"['climate change', 'forests', 'biodiversity']"
PPE,,[]
PPE,True,"['corona', 'public health']"
GUE/NGL,True,"['public health', 'pandemic', 'health policies']"
ALDE,,[]
S&D,,[]
ECR,True,"['COVID-19 pandemic', 'healthcare systems', 'public health', 'health policies', 'vaccination', 'chronic diseases', 'disease control', 'health program']"
PPE,,"['climate disaster', 'decarbonization', 'energy efficiency', 'renewable energy policies']"
S&D,True,"['COVID-19', 'public health', 'health policies', 'healthcare systems', 'disease control', 'pandemic']"
PPE,,[]
S&D,,[]
PPE,True,"['public health', 'disinformation', 'confidence']"
PPE,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ID,True,"['public health cooperation', 'public health strategy', 'health consequences', 'health disaster', 'disease control', 'pandemic', 'healthcare systems']"
S&D,True,"['public health', 'healthcare systems', 'health policies', 'pandemic']"
ALDE,True,"['COVID-19', 'public health issues', 'health crisis', 'disease control']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,,"['violence against women', 'domestic violence', 'gender ideology']"
ECR,True,"['COVID-19', 'public health', 'health policies', 'economic recovery']"
ID,,[]
NI,,"['European funds', 'waste management', 'competition', 'economic policy']"
ALDE,True,"['COVID-19', 'public health', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
S&D,True,"['COVID-19', 'healthcare systems', 'public health issues']"
GUE/NGL,,[]
ECR,True,"['COVID-19', 'public health issues', 'healthcare systems']"
ALDE,True,"['COVID-19', 'public health', 'health policies', 'pandemic', 'disease control']"
S&D,,[]
ID,,[]
S&D,,[]
GUE/NGL,,[]
PPE,True,"['COVID-19', 'human rights', 'public health', 'healthcare systems', 'disease control']"
PPE,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,True,"['pandemic', 'public health', 'healthcare systems']"
ALDE,,[]
NI,,[]
ALDE,True,"['public health', 'pandemic', 'economic crisis', 'healthcare systems', 'health policies']"
PPE,True,"['public health issues', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
PPE,True,"['COVID-19', 'public health', 'recovery process', 'healthcare systems']"
PPE,True,"['COVID-19', 'health crisis', 'medical reserves', 'health policies', 'public health issues']"
S&D,,"['energy investments', 'emissions reduction', 'renewable energy investments', 'investment environment']"
GUE/NGL,,"['human rights', 'migration']"
ALDE,True,"['health crisis', 'public health']"
S&D,True,"['rule of law', 'human rights', 'corruption', 'public health']"
ID,,[]
S&D,True,"['humanitarian crisis', 'asylum', 'migration', 'vulnerable people', 'public health']"
PPE,,[]
S&D,,"['EU passport', 'citizenship', 'investments']"
ALDE,,[]
ID,,"['migration', 'refugee camp', 'humanitarian crisis', 'migration policy', 'solidarity']"
PPE,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
S&D,True,"['crisis', 'European response', 'citizens', 'families', 'states']"
NI,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
GUE/NGL,,[]
S&D,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic']"
PPE,,[]
S&D,,[]
S&D,True,"['public health risk', 'infectious diseases', 'animal welfare', 'genetic defects', 'behavioural problems', 'health']"
PPE,,[]
PPE,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'health policies', 'disease control', 'pandemic', 'health risks']"
Greens/EFA,,[]
ALDE,,[]
GUE/NGL,,[]
Greens/EFA,,[]
S&D,,[]
ECR,,[]
GUE/NGL,,[]
S&D,True,"['recovery plan', 'European Pillar of Social Rights', 'economic recovery', 'digital transformation', 'poverty', 'European Union of Health', 'public health']"
S&D,,[]
PPE,True,"['COVID-19', 'public health issues', 'information', 'media manipulation', 'healthcare systems', 'pandemic', 'disease control']"
PPE,True,"['plague', 'public health debate', 'implementing acts', 'modified foods', 'pesticides', 'healthcare systems']"
S&D,True,"['COVID-19', 'public health issues', 'disease control', 'pandemic', 'healthcare systems']"
ID,,"['tax evasion', 'money laundering', 'corruption', 'mafia']"
ID,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ID,,"['healthcare systems', 'public health issues']"
PPE,,"['illegal migration', 'border control', 'human trafficking']"
GUE/NGL,,[]
ECR,True,"['public health', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
ALDE,,[]
S&D,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control']"
NI,,[]
PPE,,"['gang crime', 'security', 'border controls']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
ECR,,[]
PPE,,[]
S&D,True,"['coronavirus epidemic', 'new diseases', 'medical research', 'public health']"
Greens/EFA,,[]
PPE,,[]
S&D,,"['migration', 'asylum', 'vulnerability']"
ECR,True,"['public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies', 'COVID-19']"
ALDE,,[]
Greens/EFA,,[]
NI,,[]
PPE,,[]
GUE/NGL,,[]
ID,,[]
ALDE,,[]
S&D,True,"['economic crisis', 'social and economic impacts', 'recovery package', 'European economic system']"
Greens/EFA,,[]
PPE,,[]
ECR,,[]
S&D,,[]
Greens/EFA,True,"['pandemic', 'public health', 'health policies', 'disease control']"
S&D,True,"['health crisis', 'public health', 'health treatment', 'health policies', 'health uncertainty', 'pandemic']"
PPE,True,"['economic recovery', 'public finances', 'debt', 'competitiveness', 'budgetary process']"
NI,,[]
PPE,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic']"
S&D,,[]
ECR,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,,[]
ID,,[]
ID,,"['social security systems', 'data protection', 'social dumping', 'globalism']"
GUE/NGL,,[]
S&D,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,,[]
ECR,,[]
Greens/EFA,,[]
ID,,[]
Greens/EFA,,[]
ECR,,[]
PPE,,[]
ID,,"['healthcare systems', 'public health issues']"
GUE/NGL,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
PPE,,[]
PPE,True,"['Green Deal', 'cancer', 'climate emissions reductions', 'climate and environment policies', 'digital research and innovation']"
PPE,,"['healthcare systems', 'public health']"
Greens/EFA,,[]
PPE,,[]
PPE,,[]
PPE,True,"['public health', 'health policies', 'disease control']"
ID,,[]
PPE,,"['housing', 'economic issue', 'social issue']"
Greens/EFA,,[]
ID,,[]
ALDE,True,"['public health', 'healthcare systems', 'migration', 'immigration', 'demographic challenges']"
ECR,,[]
PPE,,[]
Greens/EFA,,[]
Greens/EFA,,[]
PPE,,"['agriculture', 'farmers', 'land owners', 'environmental action', 'climate action']"
GUE/NGL,,"['austerity', 'economic governance', 'social housing', 'homelessness']"
PPE,True,"['human health', 'biodiversity', 'public health']"
GUE/NGL,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ECR,True,"['coronavirus crisis', 'pandemic', 'public health', 'health policies', 'healthcare systems']"
ALDE,,"['minority issues', 'inclusive education', 'linguistic diversity', 'statelessness', 'minority schools']"
PPE,,[]
S&D,,[]
ID,,[]
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic']"
PPE,,[]
ECR,,[]
ALDE,,[]
PPE,True,"['public health', 'natural disasters', 'economic losses', 'healthcare systems', 'environmental damage']"
PPE,True,"['public health', 'healthcare systems', 'health policies', 'COVID-19']"
S&D,,[]
S&D,,[]
ALDE,,[]
PPE,,[]
GUE/NGL,,[]
ALDE,,[]
GUE/NGL,True,"['public health', 'health and hygiene', 'health services', 'health']"
S&D,,[]
ECR,,[]
GUE/NGL,,[]
PPE,True,"['climate change', 'public health', 'pandemic', 'healthcare systems']"
PPE,True,"['public health', 'healthcare systems', 'pandemic', 'sexual education', 'health care']"
NI,,[]
GUE/NGL,True,"['public health', 'healthcare systems', 'hospitals', 'disease control', 'health policies']"
NI,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'public health emergency']"
PPE,True,"['public health', 'healthcare systems', 'disease control', 'health policies']"
PPE,,[]
PPE,,[]
PPE,,[]
ALDE,,[]
ALDE,,"['sanctions', 'government compliance', 'rule of law', 'international credibility']"
S&D,,[]
GUE/NGL,True,"['public health', 'pandemic', 'health policies', 'healthy food']"
GUE/NGL,,"['poverty', 'retirement age']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'health policies', 'pandemic']"
S&D,,[]
ID,,"['poverty', 'social justice', 'net wages']"
PPE,,[]
PPE,True,"['public health', 'healthcare systems', 'vulnerable citizens', 'uncertainty and anxiety']"
ECR,True,"['COVID-19', 'public health', 'healthcare systems', 'disease control']"
PPE,,"['public health', 'human rights', 'freedom of speech', 'media harassment', 'arrests']"
S&D,,"['energy transformation', 'air quality', 'carbon emitter']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems']"
ECR,,[]
ID,,[]
S&D,True,"['human health', 'public health']"
GUE/NGL,,[]
PPE,,[]
ALDE,,[]
GUE/NGL,,"['refugees', 'syria', 'war criminals']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health crisis', 'health policies', 'disease control', 'pandemic']"
ALDE,,[]
S&D,,[]
S&D,,[]
S&D,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'diseases', 'pandemic', 'health policies']"
Greens/EFA,True,"['agro-ecological transition', 'sustainable transform', 'food systems', 'pesticides', 'biodiversity', 'greenhouse gas emissions', 'food sovereignty', 'public health issues']"
PPE,,[]
ECR,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic']"
ECR,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
ALDE,True,"['public health', 'climate action', 'carbon footprint', 'environmental health', 'green deal']"
PPE,,[]
PPE,,[]
GUE/NGL,,[]
PPE,True,"['pandemic', 'public health', 'health policies', 'disease control']"
Greens/EFA,True,"['migration', 'humanitarian crisis', 'healthcare', 'trauma', 'sustenance', 'medication']"
S&D,,[]
Greens/EFA,,[]
PPE,,[]
ALDE,,[]
